"Index","X2330.TW.Close","TSM.Close"
"2018-01-02",232.5,41.02
"2018-01-03",237,41.709999
"2018-01-04",239.5,41.490002
"2018-01-05",240,42.459999
"2018-01-08",242,42.439999
"2018-01-09",242,42.18
"2018-01-10",236.5,41.299999
"2018-01-11",235,41.029999
"2018-01-12",237,41.189999
"2018-01-15",240,NA
"2018-01-16",240.5,42.23
"2018-01-17",242,43.130001
"2018-01-18",248.5,44.57
"2018-01-19",255.5,44.669998
"2018-01-22",261.5,46.380001
"2018-01-23",266,46.279999
"2018-01-24",258,45.330002
"2018-01-25",258,45.099998
"2018-01-26",255,45.720001
"2018-01-29",258.5,45.400002
"2018-01-30",253,44.880001
"2018-01-31",255,45.310001
"2018-02-01",259.5,45.450001
"2018-02-02",259.5,44.509998
"2018-02-05",253,42.950001
"2018-02-06",239,43.59
"2018-02-07",240,41.880001
"2018-02-08",238.5,40.360001
"2018-02-09",232.5,41.470001
"2018-02-12",236.5,42.529999
"2018-02-13",NA,42.380001
"2018-02-14",NA,43.049999
"2018-02-15",NA,43.52
"2018-02-16",NA,43.48
"2018-02-20",NA,43.740002
"2018-02-21",242.5,42.889999
"2018-02-22",239.5,42.389999
"2018-02-23",245,43.900002
"2018-02-26",246.5,44.41
"2018-02-27",246,43.619999
"2018-02-28",NA,43.349998
"2018-03-01",243,42.720001
"2018-03-02",240,43.009998
"2018-03-05",241.5,43.490002
"2018-03-06",250,43.540001
"2018-03-07",247,44.200001
"2018-03-08",249.5,43.799999
"2018-03-09",250.5,44.59
"2018-03-12",254,45.220001
"2018-03-13",259,44.990002
"2018-03-14",257,45.150002
"2018-03-15",255,45.310001
"2018-03-16",255,44.970001
"2018-03-19",255,44.599998
"2018-03-20",253,44.830002
"2018-03-21",252.5,44.700001
"2018-03-22",251.5,43.689999
"2018-03-23",245,42.580002
"2018-03-26",243.5,44.27
"2018-03-27",251,43.290001
"2018-03-28",245,42.689999
"2018-03-29",244,43.759998
"2018-03-30",246,NA
"2018-04-02",246.5,42.5
"2018-04-03",244,43.48
"2018-04-04",NA,43.939999
"2018-04-05",NA,43.32
"2018-04-06",NA,42.419998
"2018-04-09",245,43.07
"2018-04-10",245.5,43.580002
"2018-04-11",248,43.380001
"2018-04-12",245,43.849998
"2018-04-13",244.5,42.650002
"2018-04-16",243.5,42.869999
"2018-04-17",238,42.310001
"2018-04-18",238,41.919998
"2018-04-19",244.5,39.529999
"2018-04-20",229,38.950001
"2018-04-23",226.5,38.75
"2018-04-24",227,38.75
"2018-04-25",225,38.169998
"2018-04-26",222,38.169998
"2018-04-27",223.5,38.169998
"2018-04-30",227,38.450001
"2018-05-01",NA,38.93
"2018-05-02",223,37.75
"2018-05-03",220.5,38.099998
"2018-05-04",223,38.59
"2018-05-07",223.5,38.450001
"2018-05-08",228,39.18
"2018-05-09",229.5,39.349998
"2018-05-10",229.5,39.77
"2018-05-11",233,39.91
"2018-05-14",233,39.950001
"2018-05-15",230.5,39.299999
"2018-05-16",230.5,39.790001
"2018-05-17",226.5,38.959999
"2018-05-18",223.5,38.419998
"2018-05-21",229,39.470001
"2018-05-22",229,39.639999
"2018-05-23",228.5,39.650002
"2018-05-24",229,39.27
"2018-05-25",228.5,39.299999
"2018-05-28",227,NA
"2018-05-29",225,38.16
"2018-05-30",221,38.34
"2018-05-31",224,38.700001
"2018-06-01",224,39.200001
"2018-06-04",229,39.970001
"2018-06-05",229,39.540001
"2018-06-06",230,39.560001
"2018-06-07",230,39.52
"2018-06-08",227,38.93
"2018-06-11",226,38.759998
"2018-06-12",229,39.200001
"2018-06-13",232,39.049999
"2018-06-14",226.5,38.599998
"2018-06-15",231,38.689999
"2018-06-18",NA,38.25
"2018-06-19",225,37.560001
"2018-06-20",226,38.349998
"2018-06-21",226.5,37.619999
"2018-06-22",227.5,38.119999
"2018-06-25",218,36.509998
"2018-06-26",214.5,36.459999
"2018-06-27",213,35.509998
"2018-06-28",212,35.939999
"2018-06-29",216.5,36.560001
"2018-07-02",214,36.540001
