"Index","X2303.TW.Close","UMC.Close"
"2018-01-02",14.25,2.44
"2018-01-03",14.4,2.46
"2018-01-04",14.35,2.44
"2018-01-05",14.55,2.47
"2018-01-08",14.7,2.5
"2018-01-09",14.75,2.49
"2018-01-10",14.2,2.4
"2018-01-11",14,2.38
"2018-01-12",14.2,2.4
"2018-01-15",14.3,NA
"2018-01-16",14.3,2.41
"2018-01-17",14.3,2.43
"2018-01-18",14.3,2.42
"2018-01-19",14.2,2.44
"2018-01-22",14,2.41
"2018-01-23",14.6,2.49
"2018-01-24",14.4,2.52
"2018-01-25",14.5,2.48
"2018-01-26",14.6,2.52
"2018-01-29",14.55,2.5
"2018-01-30",14.45,2.47
"2018-01-31",14.25,2.44
"2018-02-01",14.4,2.45
"2018-02-02",14.55,2.44
"2018-02-05",14.4,2.4
"2018-02-06",13.95,2.41
"2018-02-07",14.2,2.4
"2018-02-08",14.15,2.33
"2018-02-09",14.05,2.38
"2018-02-12",13.85,2.38
"2018-02-13",NA,2.38
"2018-02-14",NA,2.49
"2018-02-15",NA,2.47
"2018-02-16",NA,2.47
"2018-02-20",NA,2.44
"2018-02-21",14.1,2.4
"2018-02-22",13.95,2.4
"2018-02-23",14.15,2.42
"2018-02-26",14.1,2.44
"2018-02-27",14.15,2.41
"2018-02-28",NA,2.41
"2018-03-01",14,2.39
"2018-03-02",14,2.42
"2018-03-05",13.9,2.39
"2018-03-06",14.15,2.41
"2018-03-07",14.05,2.42
"2018-03-08",15.45,2.73
"2018-03-09",15.1,2.6
"2018-03-12",15.25,2.6
"2018-03-13",15.25,2.61
"2018-03-14",15.1,2.6
"2018-03-15",15.1,2.61
"2018-03-16",15.2,2.59
"2018-03-19",15.25,2.59
"2018-03-20",15.2,2.6
"2018-03-21",15.2,2.6
"2018-03-22",15.25,2.58
"2018-03-23",15.2,2.58
"2018-03-26",15.15,2.6
"2018-03-27",15.55,2.57
"2018-03-28",15.4,2.59
"2018-03-29",15.3,2.59
"2018-03-30",15.4,NA
"2018-04-02",15.45,2.57
"2018-04-03",15.4,2.57
"2018-04-04",NA,2.55
"2018-04-05",NA,2.58
"2018-04-06",NA,2.56
"2018-04-09",15.25,2.53
"2018-04-10",15.3,2.6
"2018-04-11",15.4,2.57
"2018-04-12",15.45,2.61
"2018-04-13",15.4,2.59
"2018-04-16",15.35,2.59
"2018-04-17",15.35,2.61
"2018-04-18",15.6,2.63
"2018-04-19",15.85,2.64
"2018-04-20",15.6,2.61
"2018-04-23",15.55,2.59
"2018-04-24",15.35,2.56
"2018-04-25",15.5,2.61
"2018-04-26",15.7,2.64
"2018-04-27",15.7,2.65
"2018-04-30",16,2.67
"2018-05-01",NA,2.68
"2018-05-02",16.25,2.7
"2018-05-03",16.049999,2.68
"2018-05-04",16,2.69
"2018-05-07",15.65,2.64
"2018-05-08",15.85,2.65
"2018-05-09",16.200001,2.7
"2018-05-10",15.95,2.7
"2018-05-11",16.15,2.7
"2018-05-14",16.4,2.75
"2018-05-15",16.450001,2.73
"2018-05-16",16.299999,2.73
"2018-05-17",16.049999,2.67
"2018-05-18",16.049999,2.66
"2018-05-21",16.049999,2.67
"2018-05-22",16.200001,2.73
"2018-05-23",16.200001,2.71
"2018-05-24",16.200001,2.7
"2018-05-25",16.25,2.7
"2018-05-28",16.4,NA
"2018-05-29",16.450001,2.7
"2018-05-30",16.4,2.76
"2018-05-31",16.65,2.78
"2018-06-01",16.450001,2.77
"2018-06-04",16.5,2.8
"2018-06-05",16.5,2.77
"2018-06-06",16.4,2.79
"2018-06-07",16.6,2.79
"2018-06-08",16.4,2.78
"2018-06-11",16.799999,2.85
"2018-06-12",16.85,2.9
"2018-06-13",18.5,3.06
"2018-06-14",18.1,3.06
"2018-06-15",18.65,3.08
"2018-06-18",NA,3.03
"2018-06-19",18.200001,3.02
"2018-06-20",18.049999,2.99
"2018-06-21",17.65,2.9
"2018-06-22",17.799999,2.95
"2018-06-25",17.799999,2.88
"2018-06-26",17.6,2.86
"2018-06-27",17.6,2.81
"2018-06-28",16.950001,2.75
"2018-06-29",16.950001,2.82
"2018-07-02",18.200001,2.89
"2018-07-03",17.950001,2.9
"2018-07-04",17.950001,NA
"2018-07-05",17.950001,2.85
"2018-07-06",17.6,2.83
"2018-07-09",17.65,2.79
"2018-07-10",17,2.78
"2018-07-11",16.9,2.75
"2018-07-12",17.450001,2.84
"2018-07-13",17.4,2.79
"2018-07-16",17.25,2.75
"2018-07-17",17.25,2.75
"2018-07-18",17.4,2.84
"2018-07-19",17.6,2.83
"2018-07-20",17.85,2.83
"2018-07-23",18.25,2.91
"2018-07-24",18.200001,2.88
"2018-07-25",18.200001,2.96
"2018-07-26",17.5,2.83
"2018-07-27",17.299999,2.76
"2018-07-30",17.200001,2.75
"2018-07-31",17.549999,2.8
"2018-08-01",17.4,2.77
"2018-08-02",17.299999,2.76
"2018-08-03",17.700001,2.83
"2018-08-06",17.950001,2.83
"2018-08-07",17.85,2.85
"2018-08-08",17.950001,2.88
"2018-08-09",17.85,2.86
"2018-08-10",17.950001,2.82
"2018-08-13",17.299999,2.74
"2018-08-14",17.4,2.77
"2018-08-15",16.950001,2.69
"2018-08-16",17.15,2.71
"2018-08-17",17.200001,2.73
"2018-08-20",17.549999,2.79
"2018-08-21",18,2.87
"2018-08-22",17.5,2.81
"2018-08-23",17.65,2.79
"2018-08-24",17.299999,2.79
"2018-08-27",17.4,2.79
"2018-08-28",17.5,2.77
"2018-08-29",17.549999,2.81
"2018-08-30",17.35,2.78
"2018-08-31",17.35,2.79
"2018-09-03",17.1,NA
"2018-09-04",17.200001,2.73
"2018-09-05",17,2.72
"2018-09-06",16.9,2.71
"2018-09-07",16.299999,2.66
"2018-09-10",15.55,2.47
"2018-09-11",15.65,2.53
"2018-09-12",15.4,2.45
"2018-09-13",15.6,2.51
"2018-09-14",15.7,2.52
"2018-09-17",15.6,2.5
"2018-09-18",15.3,2.47
"2018-09-19",15.6,2.5
"2018-09-20",15.45,2.48
"2018-09-21",15.85,2.5
"2018-09-24",NA,2.52
"2018-09-25",15.65,2.51
"2018-09-26",15.9,2.54
"2018-09-27",15.95,2.57
"2018-09-28",16.15,2.58
"2018-10-01",15.9,2.58
"2018-10-02",15.6,2.51
"2018-10-03",15.5,2.49
"2018-10-04",15.1,2.37
"2018-10-05",14.7,2.34
"2018-10-08",14.8,2.34
"2018-10-09",14.8,2.33
"2018-10-10",NA,2.26
"2018-10-11",13.75,2.22
"2018-10-12",13.65,2.19
"2018-10-15",13.35,2.15
"2018-10-16",13.2,2.15
"2018-10-17",13.6,2.16
"2018-10-18",13.25,2.1
"2018-10-19",13.3,2.13
"2018-10-22",13.1,2.07
"2018-10-23",12.75,2.01
"2018-10-24",12.65,1.93
"2018-10-25",12.3,1.95
"2018-10-26",11.7,1.85
"2018-10-29",11.6,1.84
"2018-10-30",11.7,1.88
"2018-10-31",11.8,1.88
"2018-11-01",11.95,1.9
"2018-11-02",11.9,1.87
"2018-11-05",10.75,1.71
"2018-11-06",10.9,1.78
"2018-11-07",10.95,1.78
"2018-11-08",10.85,1.72
"2018-11-09",10.6,1.68
"2018-11-12",10.7,1.68
"2018-11-13",10.45,1.64
