"Index","X0050.TW.Close","X2330.TW.Close"
"2018-01-02",82.599998,232.5
"2018-01-03",83.349998,237
"2018-01-04",83.5,239.5
"2018-01-05",83.75,240
"2018-01-08",84.099998,242
"2018-01-09",84.150002,242
"2018-01-10",83.75,236.5
"2018-01-11",83.400002,235
"2018-01-12",84.099998,237
"2018-01-15",84.650002,240
"2018-01-16",85,240.5
"2018-01-17",85.150002,242
"2018-01-18",86.300003,248.5
"2018-01-19",87.150002,255.5
"2018-01-22",87.949997,261.5
"2018-01-23",88.300003,266
"2018-01-24",87.199997,258
"2018-01-25",87.449997,258
"2018-01-26",87.5,255
"2018-01-29",85.550003,258.5
"2018-01-30",84.550003,253
"2018-01-31",84.650002,255
"2018-02-01",85.25,259.5
"2018-02-02",84.900002,259.5
"2018-02-05",83.599998,253
"2018-02-06",79.650002,239
"2018-02-07",80.650002,240
"2018-02-08",80.599998,238.5
"2018-02-09",79.050003,232.5
"2018-02-12",79.699997,236.5
"2018-02-21",81.5,242.5
"2018-02-22",81,239.5
"2018-02-23",82,245
"2018-02-26",82.400002,246.5
"2018-02-27",82.349998,246
"2018-03-01",81.75,243
"2018-03-02",81.150002,240
"2018-03-05",80.75,241.5
"2018-03-06",82.150002,250
"2018-03-07",81.800003,247
"2018-03-08",82.75,249.5
"2018-03-09",82.849998,250.5
"2018-03-12",84.150002,254
"2018-03-13",84.949997,259
"2018-03-14",84.300003,257
"2018-03-15",84.25,255
"2018-03-16",83.900002,255
"2018-03-19",83.849998,255
"2018-03-20",83.800003,253
"2018-03-21",83.849998,252.5
"2018-03-22",83.550003,251.5
"2018-03-23",82.099998,245
"2018-03-26",82.199997,243.5
"2018-03-27",83.400002,251
"2018-03-28",82.25,245
"2018-03-29",82.099998,244
"2018-03-30",82.849998,246
"2018-04-02",82.25,246.5
"2018-04-03",81.5,244
"2018-04-09",82.199997,245
"2018-04-10",82.5,245.5
"2018-04-11",82.849998,248
"2018-04-12",82.5,245
"2018-04-13",82.5,244.5
"2018-04-16",82.300003,243.5
"2018-04-17",81.400002,238
"2018-04-18",81.599998,238
"2018-04-19",82.650002,244.5
"2018-04-20",80.75,229
"2018-04-23",79.949997,226.5
"2018-04-24",79.550003,227
"2018-04-25",79.300003,225
"2018-04-26",79.050003,222
"2018-04-27",79.199997,223.5
"2018-04-30",80,227
"2018-05-02",79.400002,223
"2018-05-03",78.550003,220.5
"2018-05-04",78.949997,223
"2018-05-07",79.5,223.5
"2018-05-08",80,228
"2018-05-09",80.449997,229.5
"2018-05-10",80.650002,229.5
"2018-05-11",81.599998,233
"2018-05-14",82.5,233
"2018-05-15",81.650002,230.5
"2018-05-16",81.75,230.5
