"Index","X3711.TW.Close","ASX.Close"
"2018-01-02",76.599998,6.62
"2018-01-03",77.400002,6.62
"2018-01-04",78.199997,6.69
"2018-01-05",77.800003,6.7
"2018-01-08",78.099998,6.66
"2018-01-09",78,6.67
"2018-01-10",78,6.59
"2018-01-11",77.599998,6.65
"2018-01-12",77.599998,6.66
"2018-01-15",80.5,NA
"2018-01-16",80.900002,6.85
"2018-01-17",82.800003,7.06
"2018-01-18",83.699997,7.14
"2018-01-19",84,7.22
"2018-01-22",84.599998,7.32
"2018-01-23",83.900002,7.25
"2018-01-24",84.099998,7.24
"2018-01-25",82.400002,7.1
"2018-01-26",83.400002,7.24
"2018-01-29",84,7.2
"2018-01-30",83.599998,7.18
"2018-01-31",82.800003,7.15
"2018-02-01",81.300003,7.06
"2018-02-02",83.400002,7.12
"2018-02-05",81.699997,6.93
"2018-02-06",79,6.98
"2018-02-07",78,6.73
"2018-02-08",78,6.55
"2018-02-09",75.800003,6.64
"2018-02-12",77,6.73
"2018-02-13",NA,6.72
"2018-02-14",NA,6.82
"2018-02-15",NA,6.89
"2018-02-16",NA,6.88
"2018-02-20",NA,6.86
"2018-02-21",80.199997,6.89
"2018-02-22",79,6.8
"2018-02-23",79.5,6.91
"2018-02-26",79.199997,6.91
"2018-02-27",79.5,6.85
"2018-02-28",NA,6.82
"2018-03-01",80.300003,6.91
"2018-03-02",80.699997,7.06
"2018-03-05",80,7.03
"2018-03-06",82.199997,7.15
"2018-03-07",82.300003,7.18
"2018-03-08",84.099998,7.34
"2018-03-09",84.900002,7.48
"2018-03-12",85.900002,7.47
"2018-03-13",86,7.31
"2018-03-14",85.199997,7.35
"2018-03-15",84.199997,7.25
"2018-03-16",83.5,7.22
"2018-03-19",84.199997,7.21
"2018-03-20",84,7.21
"2018-03-21",86.300003,7.38
"2018-03-22",85.400002,7.23
"2018-03-23",84,7.12
"2018-03-26",83.699997,7.26
"2018-03-27",84.599998,7.19
"2018-03-28",85.900002,7.3
"2018-03-29",84.300003,7.26
"2018-03-30",83.900002,NA
"2018-04-02",84.5,7.13
"2018-04-03",83.699997,7.15
"2018-04-04",NA,7.14
"2018-04-05",NA,7.11
"2018-04-06",NA,7.05
"2018-04-09",86,7.1
"2018-04-10",86,7.21
"2018-04-11",85.300003,7.17
"2018-04-12",85.199997,7.28
"2018-04-13",88.699997,7.44
"2018-04-16",91,7.63
"2018-04-17",89,7.52
"2018-04-18",89,6.1
"2018-04-19",89,6.16
"2018-04-20",89,6.04
"2018-04-23",89,5.96
"2018-04-24",89,5.85
"2018-04-25",89,5.79
"2018-04-26",89,5.94
"2018-04-27",89,6.3
"2018-04-30",80.300003,6.3
"2018-05-01",NA,5.52
"2018-05-02",75.699997,4.93
"2018-05-03",75.099998,4.98
"2018-05-04",80.199997,5.37
"2018-05-07",79,5.15
"2018-05-08",77.699997,5.11
"2018-05-09",77.199997,5.14
"2018-05-10",78.5,5.28
"2018-05-11",79.800003,5.34
"2018-05-14",79.800003,5.3
"2018-05-15",79.699997,5.25
"2018-05-16",79.5,5.32
"2018-05-17",77.800003,5.12
"2018-05-18",78.699997,5.19
"2018-05-21",79.800003,5.26
"2018-05-22",79,5.22
"2018-05-23",78.5,5.22
"2018-05-24",78.099998,5.12
"2018-05-25",79,5.24
"2018-05-28",78.199997,NA
"2018-05-29",78.099998,5.08
"2018-05-30",75.300003,4.9
