"Index","X2409.TW.Close","AUOTY.Close"
"2018-01-02",12.35,4.2
"2018-01-03",12.45,4.27
"2018-01-04",12.5,4.25
"2018-01-05",12.5,4.32
"2018-01-08",12.6,4.3
"2018-01-09",12.35,4.21
"2018-01-10",12.4,4.25
"2018-01-11",12.4,4.29
"2018-01-12",12.6,4.31
"2018-01-15",12.75,NA
"2018-01-16",13.05,4.51
"2018-01-17",13.15,4.57
"2018-01-18",13.05,4.49
"2018-01-19",13.2,4.56
"2018-01-22",13.55,4.66
"2018-01-23",13.2,4.69
"2018-01-24",13.8,4.99
"2018-01-25",14.05,4.89
"2018-01-26",14.3,4.99
"2018-01-29",14.25,4.95
"2018-01-30",13.8,4.82
"2018-01-31",13.9,4.79
"2018-02-01",13.5,4.68
"2018-02-02",13.5,4.59
"2018-02-05",13.35,4.49
"2018-02-06",12.8,4.65
"2018-02-07",13.3,4.56
"2018-02-08",13.8,4.53
"2018-02-09",13.35,4.64
"2018-02-12",13.1,4.59
"2018-02-13",NA,4.67
"2018-02-14",NA,4.74
"2018-02-15",NA,4.77
"2018-02-16",NA,4.93
"2018-02-20",NA,4.76
"2018-02-21",13.4,4.62
"2018-02-22",13.3,4.56
"2018-02-23",13.3,4.59
"2018-02-26",13.25,4.54
"2018-02-27",13.1,4.43
"2018-02-28",NA,4.4
"2018-03-01",13.2,4.45
"2018-03-02",13,4.45
"2018-03-05",13,4.46
"2018-03-06",13.05,4.48
"2018-03-07",12.95,4.47
"2018-03-08",13.65,4.67
"2018-03-09",13.5,4.64
"2018-03-12",13.45,4.61
"2018-03-13",13.55,4.66
"2018-03-14",13.5,4.66
"2018-03-15",13.55,4.69
"2018-03-16",13.65,4.66
"2018-03-19",13.85,4.73
"2018-03-20",14,4.79
"2018-03-21",13.85,4.77
"2018-03-22",13.7,4.68
"2018-03-23",13.55,4.59
"2018-03-26",13.65,4.73
"2018-03-27",13.65,4.61
"2018-03-28",13.55,4.52
"2018-03-29",13.5,4.57
"2018-03-30",13.65,NA
"2018-04-02",13.75,4.6
"2018-04-03",13.65,4.71
"2018-04-04",NA,4.67
"2018-04-05",NA,4.7
"2018-04-06",NA,4.64
"2018-04-09",13.35,4.42
"2018-04-10",13.3,4.48
"2018-04-11",13.3,4.51
"2018-04-12",13.45,4.55
"2018-04-13",13.35,4.45
"2018-04-16",13.1,4.34
"2018-04-17",12.6,4.24
"2018-04-18",12.75,4.27
"2018-04-19",12.85,4.23
"2018-04-20",12.65,4.17
"2018-04-23",12.4,4.1
"2018-04-24",12.1,4.03
"2018-04-25",12.15,4.05
"2018-04-26",12,3.96
"2018-04-27",12.55,4.06
"2018-04-30",12.4,3.98
"2018-05-01",NA,4.03
"2018-05-02",12.35,4.05
"2018-05-03",12.35,4.13
"2018-05-04",12.4,4.17
"2018-05-07",12.3,4.09
"2018-05-08",12.8,4.31
"2018-05-09",12.6,4.22
"2018-05-10",12.6,4.27
"2018-05-11",12.65,4.27
"2018-05-14",12.7,4.33
"2018-05-15",12.8,4.33
"2018-05-16",12.85,4.21
"2018-05-17",12.85,4.2
"2018-05-18",12.75,4.17
"2018-05-21",12.75,4.2
"2018-05-22",12.8,4.23
"2018-05-23",12.8,4.26
"2018-05-24",12.75,4.25
"2018-05-25",12.7,4.22
"2018-05-28",12.75,NA
"2018-05-29",12.85,4.24
"2018-05-30",12.8,4.24
"2018-05-31",13.15,4.34
"2018-06-01",13.25,4.41
"2018-06-04",13.35,4.44
"2018-06-05",13.1,4.32
"2018-06-06",13.25,4.38
"2018-06-07",13.35,4.4
"2018-06-08",13.3,4.39
"2018-06-11",13.3,4.45
"2018-06-12",13.35,4.46
"2018-06-13",13.3,4.49
"2018-06-14",13.3,4.55
"2018-06-15",13.5,4.48
"2018-06-18",NA,4.36
"2018-06-19",13.15,4.31
"2018-06-20",13.5,4.41
"2018-06-21",13.25,4.23
"2018-06-22",12.95,4.27
"2018-06-25",12.85,4.2
"2018-06-26",12.7,4.16
"2018-06-27",12.75,4.12
"2018-06-28",12.6,4.21
"2018-06-29",12.9,4.23
"2018-07-02",12.9,4.19
"2018-07-03",12.8,4.19
"2018-07-04",12.8,NA
"2018-07-05",12.8,4.19
"2018-07-06",13,4.25
"2018-07-09",13.5,4.72
"2018-07-10",13.4,4.51
"2018-07-11",13.4,4.45
"2018-07-12",12,4.01
"2018-07-13",12.05,4
"2018-07-16",12,3.94
"2018-07-17",12,3.98
"2018-07-18",12.2,4.09
"2018-07-19",12.4,4.14
"2018-07-20",12.45,4.11
"2018-07-23",12.4,4.11
"2018-07-24",12.3,4.1
"2018-07-25",12.45,4.13
"2018-07-26",12.35,4.25
"2018-07-27",12.7,4.27
"2018-07-30",13,4.3
"2018-07-31",13.2,4.42
"2018-08-01",13.25,4.39
"2018-08-02",13.15,4.37
"2018-08-03",13.2,4.4
"2018-08-06",13.35,4.44
"2018-08-07",13.35,4.45
"2018-08-08",13.35,4.44
"2018-08-09",13.25,4.33
"2018-08-10",12.9,4.22
"2018-08-13",12.8,4.23
"2018-08-14",13,4.28
"2018-08-15",12.8,4.2
"2018-08-16",12.8,4.19
"2018-08-17",13.1,4.36
"2018-08-20",13.15,4.36
"2018-08-21",13.05,4.36
"2018-08-22",13,4.26
"2018-08-23",13.1,4.23
"2018-08-24",12.9,4.29
"2018-08-27",13,4.35
"2018-08-28",13,4.24
"2018-08-29",13.1,4.33
"2018-08-30",13.2,4.34
"2018-08-31",13.3,4.41
"2018-09-03",13.1,NA
"2018-09-04",13.2,4.38
"2018-09-05",13.1,4.28
"2018-09-06",13.05,4.27
"2018-09-07",12.9,4.22
"2018-09-10",12.6,4.14
"2018-09-11",12.75,4.17
"2018-09-12",12.9,4.2
"2018-09-13",12.9,4.22
"2018-09-14",13.1,4.3
"2018-09-17",12.95,4.24
"2018-09-18",12.8,4.19
"2018-09-19",12.9,4.24
"2018-09-20",12.75,4.17
"2018-09-21",12.85,4.14
"2018-09-24",NA,4.15
"2018-09-25",12.75,4.18
"2018-09-26",12.8,4.13
"2018-09-27",13,4.33
"2018-09-28",12.9,4.21
"2018-10-01",12.8,4.23
"2018-10-02",12.75,4.16
"2018-10-03",12.8,4.15
"2018-10-04",12.55,4.05
"2018-10-05",12.4,4.01
"2018-10-08",12.4,4.05
"2018-10-09",12.5,4.01
"2018-10-10",NA,3.99
"2018-10-11",11.3,3.78
"2018-10-12",11.85,3.92
"2018-10-15",11.7,3.86
"2018-10-16",11.55,3.86
"2018-10-17",11.7,3.83
"2018-10-18",11.5,3.69
"2018-10-19",11.5,3.68
"2018-10-22",11.65,3.82
"2018-10-23",11.35,3.75
"2018-10-24",11.75,3.74
"2018-10-25",11.3,3.73
"2018-10-26",11.5,3.73
"2018-10-29",11.9,3.83
"2018-10-30",11.75,3.91
"2018-10-31",12.2,3.83
"2018-11-01",11.75,3.9
"2018-11-02",11.7,3.81
"2018-11-05",11.65,3.83
"2018-11-06",11.9,3.88
"2018-11-07",12.05,3.95
"2018-11-08",12.2,3.95
"2018-11-09",12.2,3.9
"2018-11-12",12.35,3.93
"2018-11-13",12.4,4.04
"2018-11-14",12.55,4.05
"2018-11-15",12.6,4.11
"2018-11-16",12.75,4.14
"2018-11-19",12.75,4.07
"2018-11-20",12.4,4.01
"2018-11-21",12.55,4.12
"2018-11-22",12.4,NA
"2018-11-23",12.5,4.12
"2018-11-26",12.6,4.13
"2018-11-27",12.7,4.16
"2018-11-28",12.8,4.28
"2018-11-29",12.7,4.15
"2018-11-30",12.55,4.15
"2018-12-03",12.7,4.18
"2018-12-04",12.75,4.1
"2018-12-05",12.55,NA
"2018-12-06",12.5,4.11
"2018-12-07",12.55,4.05
"2018-12-10",12.35,4.07
"2018-12-11",12.35,4.07
"2018-12-12",12.4,4.11
"2018-12-13",12.45,4.1
"2018-12-14",12.4,4.06
"2018-12-17",12.3,3.99
"2018-12-18",12.4,4.05
"2018-12-19",12.45,4.02
"2018-12-20",12.35,4.03
"2018-12-21",12.2,3.97
"2018-12-24",12.2,3.92
"2018-12-25",12,NA
"2018-12-26",12,3.99
"2018-12-27",12.2,3.94
"2018-12-28",12.3,3.97
"2018-12-31",NA,3.94
"2019-01-02",11.95,3.92
"2019-01-03",11.9,3.81
"2019-01-04",11.9,3.93
"2019-01-07",12.1,3.97
"2019-01-08",12.15,4.09
"2019-01-09",12.45,4.17
"2019-01-10",12.45,4.11
"2019-01-11",12.45,4.15
"2019-01-14",12.45,4.12
"2019-01-15",12.55,4.13
"2019-01-16",12.4,4.1
"2019-01-17",12.45,4.12
"2019-01-18",12.45,4.15
"2019-01-21",12.45,NA
"2019-01-22",12.3,4.03
"2019-01-23",12.4,4.05
"2019-01-24",12.45,4.11
"2019-01-25",12.65,4.18
"2019-01-28",12.6,4.14
"2019-01-29",12.75,4.03
"2019-01-30",11.9,3.94
"2019-01-31",NA,3.83
"2019-02-01",NA,3.78
"2019-02-04",NA,3.77
"2019-02-05",NA,3.77
"2019-02-06",NA,3.79
"2019-02-07",NA,3.75
"2019-02-08",NA,3.72
"2019-02-11",11.25,3.65
"2019-02-12",10.95,3.52
"2019-02-13",10.95,3.52
"2019-02-14",11.05,3.6
"2019-02-15",10.9,3.55
"2019-02-18",11,NA
"2019-02-19",11,3.61
"2019-02-20",11.1,3.63
"2019-02-21",10.95,3.57
"2019-02-22",11.05,3.6
"2019-02-25",11.05,3.61
"2019-02-26",11.1,3.59
"2019-02-27",11.35,3.68
"2019-02-28",NA,3.64
"2019-03-01",NA,3.64
"2019-03-04",11.4,3.68
"2019-03-05",11.4,3.69
"2019-03-06",11.7,3.75
"2019-03-07",11.6,3.69
"2019-03-08",11.55,3.62
"2019-03-11",11.5,3.69
"2019-03-12",11.65,3.7
"2019-03-13",11.6,3.71
"2019-03-14",11.4,3.69
"2019-03-15",11.45,3.67
"2019-03-18",11.55,3.69
"2019-03-19",11.4,3.67
"2019-03-20",11.45,3.66
"2019-03-21",11.4,3.78
"2019-03-22",11.6,3.68
"2019-03-25",11.5,3.68
"2019-03-26",11.55,3.69
"2019-03-27",11.4,3.67
"2019-03-28",11.2,3.63
"2019-03-29",11.35,3.64
"2019-04-01",11.3,3.63
"2019-04-02",11.25,3.63
"2019-04-03",11.3,3.65
"2019-04-04",NA,3.69
"2019-04-05",NA,3.69
"2019-04-08",11.5,3.71
"2019-04-09",11.55,3.73
"2019-04-10",11.4,3.79
"2019-04-11",11.45,3.76
"2019-04-12",11.4,3.72
"2019-04-15",11.4,3.73
"2019-04-16",11.3,3.72
"2019-04-17",11.4,3.77
"2019-04-18",11.3,3.73
"2019-04-19",11.25,NA
"2019-04-22",11.2,3.7
"2019-04-23",11.25,3.66
"2019-04-24",11.1,3.58
"2019-04-25",11.1,3.48
"2019-04-26",10.85,3.45
"2019-04-29",10.85,3.49
"2019-04-30",11.05,3.49
"2019-05-01",NA,3.52
"2019-05-02",10.85,3.47
"2019-05-03",10.9,3.51
"2019-05-06",10.7,3.46
"2019-05-07",10.75,3.39
"2019-05-08",10.55,3.37
"2019-05-09",10.35,3.27
"2019-05-10",10.1,3.26
"2019-05-13",10.15,3.2
"2019-05-14",10.05,3.19
"2019-05-15",10.1,3.2
"2019-05-16",9.86,3.1
"2019-05-17",9.61,3.04
"2019-05-20",9.55,2.95
"2019-05-21",9.27,2.89
"2019-05-22",9.37,2.91
"2019-05-23",9.19,2.88
"2019-05-24",9.16,2.88
"2019-05-27",9.21,NA
"2019-05-28",9.03,2.83
"2019-05-29",8.91,2.82
"2019-05-30",9.02,2.83
"2019-05-31",9.3,2.92
"2019-06-03",9.25,2.9
"2019-06-04",9.16,2.93
"2019-06-05",9.25,2.91
"2019-06-06",9.06,2.86
"2019-06-07",NA,2.87
"2019-06-10",9.11,2.88
"2019-06-11",9.31,2.97
"2019-06-12",9.2,2.9
"2019-06-13",9.16,2.89
"2019-06-14",9.19,2.86
"2019-06-17",9.11,2.86
"2019-06-18",9.05,2.88
"2019-06-19",9.19,2.89
"2019-06-20",9.2,2.96
"2019-06-21",9.22,2.91
"2019-06-24",9.15,2.91
"2019-06-25",9.08,2.82
"2019-06-26",9.08,2.89
"2019-06-27",9.44,2.97
"2019-06-28",9.3,2.96
"2019-07-01",9.37,2.95
"2019-07-02",9.34,2.94
"2019-07-03",9.31,2.94
"2019-07-04",9.35,NA
"2019-07-05",9.47,2.97
"2019-07-08",9.32,2.91
"2019-07-09",9.21,2.92
"2019-07-10",9.3,2.96
"2019-07-11",9.03,2.84
"2019-07-12",8.93,2.82
"2019-07-15",8.93,2.81
"2019-07-16",8.92,2.81
"2019-07-17",9.25,2.89
"2019-07-18",9.09,2.86
"2019-07-19",9.01,2.83
"2019-07-22",8.96,2.84
"2019-07-23",8.93,2.83
"2019-07-24",8.9,2.86
"2019-07-25",8.81,2.73
"2019-07-26",8.59,2.66
"2019-07-29",8.53,2.66
"2019-07-30",8.4,2.63
"2019-07-31",8.27,2.56
"2019-08-01",8.1,2.48
"2019-08-02",8.14,2.51
"2019-08-05",7.91,2.43
"2019-08-06",7.77,2.4
"2019-08-07",7.52,2.36
"2019-08-08",7.66,2.31
"2019-08-09",NA,2.32
"2019-08-12",7.45,2.29
"2019-08-13",7.27,2.31
"2019-08-14",7.11,2.21
"2019-08-15",7.03,2.2
"2019-08-16",7.42,2.37
"2019-08-19",7.8,2.48
"2019-08-20",7.71,2.44
"2019-08-21",7.87,2.47
"2019-08-22",7.64,2.37
"2019-08-23",7.76,2.38
"2019-08-26",7.65,2.45
"2019-08-27",7.45,2.35
"2019-08-28",7.52,2.36
"2019-08-29",7.83,2.47
"2019-08-30",8.18,2.56
"2019-09-02",8.12,NA
"2019-09-03",7.94,2.53
"2019-09-04",8.04,2.6
"2019-09-05",8.04,2.55
"2019-09-06",8.16,2.6
"2019-09-09",NA,2.57
"2019-09-10",8.21,2.72
"2019-09-11",8.61,2.86
"2019-09-12",8.55,2.85
"2019-09-13",NA,2.83
"2019-09-16",8.48,2.76
"2019-09-17",8.26,2.68
"2019-09-18",8.3,2.69
"2019-09-19",8.11,2.65
"2019-09-20",8.39,2.67
"2019-09-23",8.35,2.64
"2019-09-24",8.3,2.58
"2019-09-25",8.15,2.61
"2019-09-26",8,2.51
"2019-09-27",7.86,2.48
"2019-09-30",NA,2.46
"2019-10-01",7.97,2.45
"2019-10-02",7.75,2.42
"2019-10-03",7.9,2.47
"2019-10-04",8.03,2.54
"2019-10-07",8.01,2.52
"2019-10-08",8.02,2.51
"2019-10-09",7.89,2.48
"2019-10-10",NA,2.53
"2019-10-11",NA,2.56
"2019-10-14",8.19,2.59
"2019-10-15",8.2,2.63
"2019-10-16",8.25,2.63
"2019-10-17",8.3,2.65
"2019-10-18",8.36,2.67
"2019-10-21",8.31,2.67
"2019-10-22",8.22,2.63
"2019-10-23",8.03,2.6
"2019-10-24",8.19,2.61
"2019-10-25",8.25,2.64
"2019-10-28",8.2,2.65
"2019-10-29",8.1,2.61
"2019-10-30",8.1,2.59
"2019-10-31",7.8,2.5
"2019-11-01",7.72,2.5
"2019-11-04",7.92,2.56
"2019-11-05",8.04,2.6
"2019-11-06",8.22,2.69
"2019-11-07",8.2,2.67
"2019-11-08",8.04,2.62
"2019-11-11",7.85,2.54
"2019-11-12",7.81,2.52
"2019-11-13",7.76,2.49
"2019-11-14",7.71,2.49
"2019-11-15",7.87,2.53
"2019-11-18",7.92,2.55
"2019-11-19",7.95,2.56
"2019-11-20",8.02,2.58
"2019-11-21",7.94,2.55
"2019-11-22",8.02,2.58
"2019-11-25",8.13,2.61
"2019-11-26",8,2.58
"2019-11-27",8.3,2.65
"2019-11-28",8.46,NA
"2019-11-29",8.78,2.81
"2019-12-02",8.59,2.8
"2019-12-03",8.43,2.77
"2019-12-04",8.48,2.77
"2019-12-05",8.36,2.73
"2019-12-06",8.21,2.68
"2019-12-09",9.03,2.84
"2019-12-10",9.38,3
"2019-12-11",9.29,2.98
"2019-12-12",9.33,3.03
"2019-12-13",9.58,3.09
"2019-12-16",10.1,3.3
"2019-12-17",10.2,3.28
"2019-12-18",10.3,3.31
"2019-12-19",10.15,3.27
"2019-12-20",10.05,3.25
"2019-12-23",10.2,3.29
"2019-12-24",10,3.26
"2019-12-25",10.15,NA
"2019-12-26",10.1,3.26
"2019-12-27",10.15,3.28
"2019-12-30",10.1,3.28
"2019-12-31",10.05,3.27
"2020-01-02",10.15,3.3
"2020-01-03",10.05,3.25
"2020-01-06",9.96,3.24
"2020-01-07",10.05,3.28
"2020-01-08",10.35,3.36
"2020-01-09",10.15,3.31
"2020-01-10",10.05,3.31
"2020-01-13",10.35,3.39
"2020-01-14",10.45,3.42
"2020-01-15",10.3,3.37
"2020-01-16",10.3,3.39
"2020-01-17",10.45,3.43
"2020-01-20",10.55,NA
"2020-01-21",NA,3.42
"2020-01-22",NA,3.41
"2020-01-23",NA,3.41
"2020-01-24",NA,3.42
"2020-01-27",NA,3.32
"2020-01-28",NA,3.34
"2020-01-29",NA,3.37
"2020-01-30",9.75,3.2
"2020-01-31",10.1,3.22
"2020-02-03",11,3.49
"2020-02-04",11.3,3.71
"2020-02-05",11.1,3.65
"2020-02-06",11.2,3.6
"2020-02-07",11.05,3.57
"2020-02-10",11.5,3.75
"2020-02-11",11.3,3.71
"2020-02-12",11.1,3.66
"2020-02-13",10.9,3.57
"2020-02-14",10.95,3.56
"2020-02-17",10.5,NA
"2020-02-18",10.5,3.43
"2020-02-19",10.8,3.52
