"Index","X2412.TW.Close","CHT.Close"
"2018-01-02",107.5,36.110001
"2018-01-03",108,36.18
"2018-01-04",108,36.200001
"2018-01-05",108.5,36.57
"2018-01-08",108.5,36.509998
"2018-01-09",109,36.529999
"2018-01-10",108.5,36.470001
"2018-01-11",108.5,36.5
"2018-01-12",108.5,36.68
"2018-01-15",109,NA
"2018-01-16",109,36.639999
"2018-01-17",109,36.790001
"2018-01-18",107.5,36.34
"2018-01-19",109,36.91
"2018-01-22",108.5,37
"2018-01-23",109,37.060001
"2018-01-24",108.5,37.07
"2018-01-25",108.5,37.189999
"2018-01-26",108.5,37.369999
"2018-01-29",109.5,37.16
"2018-01-30",108,36.66
"2018-01-31",108.5,37.049999
"2018-02-01",109,37.310001
"2018-02-02",109,37.099998
"2018-02-05",108,36.43
"2018-02-06",106.5,36.799999
"2018-02-07",107.5,36.639999
"2018-02-08",108,36.209999
"2018-02-09",107.5,36.470001
"2018-02-12",106.5,36.799999
"2018-02-13",NA,36.5
"2018-02-14",NA,36.860001
"2018-02-15",NA,36.990002
"2018-02-16",NA,37.009998
"2018-02-20",NA,36.790001
"2018-02-21",109,36.939999
"2018-02-22",108.5,36.959999
"2018-02-23",109.5,37.5
"2018-02-26",110,37.630001
"2018-02-27",109.5,37.23
"2018-02-28",NA,37.009998
"2018-03-01",108.5,36.959999
"2018-03-02",108,37.049999
"2018-03-05",108,37.16
"2018-03-06",109.5,37.400002
"2018-03-07",109.5,37.450001
"2018-03-08",109.5,37.419998
"2018-03-09",109.5,37.369999
"2018-03-12",109,37.080002
"2018-03-13",109,36.93
"2018-03-14",109,37.060001
"2018-03-15",109,37.080002
"2018-03-16",110,37.5
"2018-03-19",110,37.580002
"2018-03-20",109.5,37.5
"2018-03-21",110.5,37.959999
"2018-03-22",111.5,37.77
"2018-03-23",110,37.41
"2018-03-26",111,38.029999
"2018-03-27",112,38.150002
"2018-03-28",112.5,38.5
"2018-03-29",111.5,38.860001
"2018-03-30",113,NA
"2018-04-02",112.5,38.700001
"2018-04-03",112,38.919998
"2018-04-04",NA,38.919998
"2018-04-05",NA,38.799999
"2018-04-06",NA,38.57
"2018-04-09",114,39.02
"2018-04-10",114.5,39.299999
"2018-04-11",114,39.279999
"2018-04-12",114,39.049999
"2018-04-13",113.5,38.779999
"2018-04-16",113,38.689999
"2018-04-17",113.5,38.82
"2018-04-18",114.5,38.970001
"2018-04-19",114,38.720001
"2018-04-20",113.5,38.52
"2018-04-23",112.5,38.18
"2018-04-24",111,37.709999
"2018-04-25",110.5,37.34
"2018-04-26",111.5,37.700001
"2018-04-27",113,38.16
"2018-04-30",113,37.990002
"2018-05-01",NA,37.84
"2018-05-02",112,37.52
"2018-05-03",111.5,37.529999
"2018-05-04",111.5,37.52
"2018-05-07",112,37.360001
"2018-05-08",112,37.34
"2018-05-09",110,36.599998
"2018-05-10",108.5,36.470001
"2018-05-11",109,36.459999
"2018-05-14",109,36.509998
"2018-05-15",108.5,35.98
"2018-05-16",108,36.040001
"2018-05-17",108.5,36.060001
"2018-05-18",110,36.509998
"2018-05-21",110,36.52
"2018-05-22",109.5,36.66
"2018-05-23",109.5,36.490002
"2018-05-24",109.5,36.619999
"2018-05-25",110,36.77
"2018-05-28",111,NA
"2018-05-29",109.5,36.029999
"2018-05-30",108.5,36.139999
"2018-05-31",109,36.23
"2018-06-01",110,36.610001
"2018-06-04",110,36.790001
"2018-06-05",110,36.68
"2018-06-06",110.5,36.939999
"2018-06-07",110,36.689999
"2018-06-08",110,36.709999
"2018-06-11",109.5,36.639999
"2018-06-12",109.5,36.619999
"2018-06-13",110,36.52
"2018-06-14",109,36.23
"2018-06-15",109.5,36.07
"2018-06-18",NA,35.91
"2018-06-19",109,35.990002
"2018-06-20",110,36.189999
"2018-06-21",109.5,35.77
"2018-06-22",110,36.139999
"2018-06-25",109.5,35.759998
"2018-06-26",109.5,35.880001
"2018-06-27",109.5,35.580002
"2018-06-28",110,35.82
"2018-06-29",110,35.919998
"2018-07-02",109.5,35.740002
"2018-07-03",111,36.110001
"2018-07-04",111.5,NA
"2018-07-05",112,36.369999
"2018-07-06",112,36.669998
"2018-07-09",112,36.84
"2018-07-10",112.5,36.540001
"2018-07-11",112,36.41
"2018-07-12",111.5,36.459999
"2018-07-13",111.5,36.07
"2018-07-16",111.5,36.119999
"2018-07-17",112,36.310001
"2018-07-18",112,36.200001
"2018-07-19",111.5,36.200001
"2018-07-20",111.5,34.610001
"2018-07-23",106.5,34.52
"2018-07-24",105.5,34.529999
"2018-07-25",105,34.57
"2018-07-26",105.5,34.610001
"2018-07-27",105.5,34.700001
"2018-07-30",106,34.91
"2018-07-31",106,34.470001
"2018-08-01",106,34.439999
"2018-08-02",105.5,34.099998
"2018-08-03",106,34.540001
"2018-08-06",106.5,34.439999
"2018-08-07",106.5,34.549999
"2018-08-08",107,34.720001
"2018-08-09",107,34.68
"2018-08-10",107.5,34.59
"2018-08-13",106.5,34.240002
"2018-08-14",107,34.470001
"2018-08-15",107,34.419998
"2018-08-16",106.5,34.389999
"2018-08-17",107,34.560001
"2018-08-20",107,34.599998
"2018-08-21",108.5,35.130001
"2018-08-22",108,34.990002
"2018-08-23",108.5,34.84
"2018-08-24",107.5,34.810001
"2018-08-27",108,35.23
"2018-08-28",108.5,35.16
"2018-08-29",108.5,35.150002
"2018-08-30",107.5,34.700001
"2018-08-31",108.5,35.189999
"2018-09-03",108,NA
"2018-09-04",108.5,34.959999
"2018-09-05",108,34.84
"2018-09-06",107.5,34.77
"2018-09-07",108,34.82
"2018-09-10",108.5,35.07
"2018-09-11",110,35.77
"2018-09-12",110,35.540001
"2018-09-13",109.5,35.369999
"2018-09-14",108.5,35.07
"2018-09-17",108.5,35.220001
"2018-09-18",110,35.66
"2018-09-19",110.5,35.669998
"2018-09-20",110,35.529999
"2018-09-21",109.5,35.48
